U1=6.81V
U3=1.12V
If=0.40A
T=129.1C
Type Hg


U2 [V]      Ia [nA]
0.00       0.0
0.05       0.0
0.35       0.0
0.64       0.0
0.94       0.0
1.22       0.0
1.53       0.0
1.83       0.0
2.12       0.0
2.42       0.0
2.72       0.0
3.01       0.0
3.31       0.0
3.60       0.0
3.90       0.0
4.20       0.201
4.49       0.601
4.78       1.17
5.09       1.694
5.38       2.08
5.68       2.094
5.98       1.627
6.27       1.329
6.57       1.21
6.86       1.318
7.16       1.691
7.46       2.226
7.75       2.938
8.05       3.844
8.35       4.869
8.64       6.214
8.94       7.583
9.23       9.11
9.53       10.397
9.82       11.176
10.12      11.022
10.42      9.843
10.71      7.897
11.01      6.152
11.31      4.784
11.60      4.194
11.90      4.08
12.19      4.499
12.49      5.048
12.78      5.872
13.08      6.875
13.37      8.162
13.67      9.57
13.97      10.894
14.26      12.406
14.56      13.4
14.85      13.74
15.15      13.185
15.44      11.729
15.74      10.088
16.03      8.461
16.33      7.278
16.63      6.558
16.92      6.316
17.22      6.383
17.51      6.614
17.81      7.215
18.10      7.935
18.40      8.99
18.69      10.165
18.99      11.407
19.28      12.463
19.58      13.177
19.87      13.544
20.17      13.388
20.46      12.82
20.76      12.004
21.05      11.073
21.34      10.409
21.64      9.698
21.93      9.402
22.23      9.084
22.52      9.306
22.82      9.807
23.11      10.624
23.40      11.508
23.70      12.629
23.99      13.706
24.28      14.817
24.58      15.489
24.87      15.72
25.16      15.459
25.46      14.857
25.75      14.018
26.04      13.214
26.33      12.57
26.62      11.972
26.92      11.462
27.21      11.112
27.50      10.944
27.79      11.065
28.09      11.408
28.38      11.916
28.67      12.287
28.96      12.849
29.20      13.397
