U1=1.92V
U3=7.81V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.46       0.0
1.20       0.0
1.94       0.0
2.68       0.0
3.42       0.0
4.16       0.0
4.90       0.0
5.64       0.0
6.38       0.0
7.12       0.004
7.86       8.353
8.60       14.142
9.34       17.98
10.08      20.649
10.82      23.19
11.56      24.565
12.30      26.514
13.04      28.381
13.78      29.397
14.52      30.923
15.26      32.135
16.01      33.797
16.74      34.949
17.49      35.109
18.23      31.668
18.97      24.897
19.71      18.165
20.45      11.575
21.19      6.935
21.92      3.58
22.67      0.659
23.40      0.0
24.14      0.0
24.88      8.695
25.62      14.96
26.36      20.011
27.10      26.578
27.84      31.19
28.58      35.499
29.31      39.131
30.05      43.022
30.79      45.438
31.53      48.698
32.27      51.086
33.01      53.43
33.75      55.646
34.48      57.378
35.22      55.712
35.96      52.429
36.70      47.6
37.44      42.373
38.18      36.315
38.91      30.446
39.65      25.251
40.39      20.139
41.13      17.96
41.87      21.888
42.60      22.511
43.34      25.959
44.08      31.667
44.82      36.442
45.56      42.012
46.29      47.033
47.03      53.692
47.77      61.546
48.51      66.75
49.24      72.975
49.98      79.913
50.72      87.452
51.46      96.003
52.20      98.995
52.94      103.757
53.68      106.184
54.41      108.359
55.15      108.787
55.90      107.465
56.62      106.43
57.36      104.008
58.10      104.706
58.84      107.653
59.58      108.325
60.32      113.353
61.06      118.963
61.80      125.45
62.54      134.63
63.27      145.176
64.02      158.667
64.76      174.2
65.50      189.292
66.24      189.292
66.99      189.292
67.72      189.292
68.45      189.292
69.17      189.292
69.89      189.292
70.61      189.292
71.32      189.292
72.04      189.292
72.74      189.292
73.45      189.292
