U1=7.98V
U3=1.91V
If=0.40A
T=125.6C
Type Hg


U2 [V]      Ia [nA]
0.00       0.0
0.06       0.0
0.36       0.0
0.65       0.0
0.95       0.0
1.25       0.0
1.54       0.0
1.84       0.0
2.13       0.0
2.43       0.0
2.73       0.0
3.02       0.0
3.32       0.145
3.62       0.467
3.91       0.688
4.21       0.797
4.50       0.679
4.80       0.689
5.10       0.337
5.39       0.215
5.69       0.0
5.99       0.0
6.28       0.0
6.58       0.0
6.88       0.143
7.17       0.4
7.47       0.721
7.77       1.145
8.06       1.882
8.36       2.477
8.65       3.05
8.95       3.516
9.25       3.628
9.54       3.497
9.83       2.998
10.13      2.645
10.43      2.379
10.73      2.052
11.02      1.665
11.32      1.27
11.61      1.233
11.91      1.378
12.21      1.664
12.50      2.24
12.80      3.014
13.09      3.95
13.39      4.62
13.68      5.364
13.98      5.841
14.26      5.867
14.57      5.581
14.87      5.216
15.16      4.782
15.46      4.331
15.75      3.84
16.04      3.273
16.35      2.914
16.64      2.742
16.94      2.825
17.23      2.975
17.53      3.596
17.82      4.345
18.12      5.179
18.41      6.028
18.71      6.543
19.00      6.971
19.30      7.262
19.59      7.244
19.89      7.178
20.18      6.866
20.48      6.454
20.77      6.105
21.07      5.627
21.36      5.105
21.65      4.635
21.95      4.591
22.24      4.642
22.54      4.993
22.83      5.433
23.12      5.939
23.42      6.479
23.71      7.094
24.01      7.586
24.30      7.58
24.59      7.599
24.89      7.375
25.18      7.275
25.47      7.395
25.77      7.101
26.06      6.86
26.35      6.592
26.64      6.35
26.94      6.367
27.23      6.223
27.52      6.164
27.81      6.28
28.10      6.489
28.39      6.781
28.69      7.101
28.98      7.133
29.21      7.243
