U1=1.64V
U3=8.22V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.46       0.0
1.20       0.0
1.94       0.0
2.68       0.0
3.42       0.0
4.16       0.0
4.90       0.0
5.64       0.0
6.38       0.0
7.12       0.0
7.86       0.0
8.60       5.419
9.34       10.361
10.09      13.466
10.83      16.001
11.56      18.335
12.31      20.886
13.05      20.253
13.79      21.397
14.53      22.324
15.27      23.543
16.01      24.867
16.75      26.087
17.49      26.865
18.23      26.001
18.97      21.297
19.71      15.897
20.45      10.865
21.19      6.51
21.93      3.118
22.67      0.888
23.41      0.0
24.15      0.0
24.89      0.0
25.63      5.861
26.36      11.72
27.10      16.246
27.85      21.576
28.58      25.452
29.32      29.364
30.06      32.206
30.81      34.87
31.54      37.648
32.28      39.872
33.02      41.957
33.76      44.16
34.49      46.124
35.23      46.138
35.97      43.758
36.71      40.674
37.45      36.472
38.19      32.051
38.93      27.292
39.66      22.251
40.40      17.39
41.14      12.75
41.88      11.726
42.62      15.53
43.35      16.116
44.09      19.946
44.83      24.25
45.57      28.103
46.31      32.864
47.04      38.102
47.78      43.0
48.52      48.707
49.26      50.845
50.00      56.138
50.74      61.599
51.47      66.92
52.21      72.169
52.95      76.097
53.69      78.091
54.43      79.419
55.17      79.868
55.90      78.882
56.64      77.387
57.38      75.472
58.12      72.472
58.85      72.985
59.59      73.556
60.33      72.975
61.07      76.556
61.81      79.325
62.55      83.314
63.29      88.759
64.03      95.324
64.77      103.571
65.51      113.33
66.25      125.572
66.99      138.989
67.73      156.158
68.45      162.62
69.18      177.693
69.90      184.154
70.62      186.302
71.33      188.136
72.05      189.291
72.76      189.292
73.46      189.292
