U1=6.83V
U3=1.91V
If=0.40A
T=125.7C
Type Hg


U2 [V]      Ia [nA]
0.00       0.0
0.05       0.0
0.35       0.0
0.65       0.0
0.94       0.0
1.24       0.0
1.53       0.0
1.83       0.0
2.13       0.0
2.42       0.0
2.72       0.0
3.02       0.0
3.31       0.0
3.61       0.0
3.91       0.0
4.20       0.277
4.50       0.454
4.79       0.783
5.09       0.881
5.39       0.928
5.68       0.565
5.98       0.401
6.28       0.019
6.57       0.0
6.87       0.0
7.17       0.0
7.46       0.0
7.76       0.076
8.06       0.283
8.35       0.713
8.65       1.228
8.93       1.864
9.24       2.714
9.54       3.433
9.83       4.057
10.13      4.324
10.42      4.157
10.72      3.399
11.01      2.422
11.31      1.616
11.61      0.977
11.90      0.585
12.20      0.556
12.49      0.639
12.79      1.04
13.09      1.4
13.38      2.02
13.68      2.864
13.97      3.715
14.27      4.812
14.56      5.755
14.86      6.394
15.16      6.562
15.45      6.285
15.75      5.493
16.04      4.527
16.34      3.565
16.63      2.695
16.93      2.183
17.22      1.921
17.51      1.938
17.81      2.2
18.11      2.571
18.40      3.298
18.70      4.168
18.99      4.987
19.29      6.119
19.58      7.009
19.88      7.631
20.17      7.931
20.47      7.807
20.76      7.146
21.06      6.368
21.35      5.709
21.64      5.076
21.94      4.415
22.23      4.649
22.53      4.025
22.82      3.994
23.12      4.161
23.41      4.539
23.70      5.129
24.00      5.836
24.29      6.6
24.58      7.365
24.88      8.107
25.17      8.955
25.46      9.701
25.76      10.074
26.05      10.031
26.34      9.818
26.63      9.506
26.93      9.214
27.22      8.89
27.51      8.651
27.80      8.461
28.09      8.351
28.38      8.628
28.68      9.035
28.97      9.153
29.20      9.094
