U1=1.32V
U3=8.21V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.46       0.0
1.20       0.0
1.94       0.0
2.68       0.0
3.42       0.0
4.17       0.0
4.90       0.0
5.65       0.0
6.39       0.0
7.13       0.0
7.87       0.0
8.61       0.173
9.35       1.243
10.09      2.025
10.83      2.805
11.57      3.553
12.31      4.666
13.06      5.432
13.80      6.173
14.54      6.926
15.28      7.848
16.02      8.953
16.76      9.684
17.50      10.533
18.24      10.561
18.98      9.082
19.72      6.657
20.46      4.985
21.20      3.04
21.94      1.393
22.68      0.241
23.42      0.0
24.16      0.0
24.90      0.0
25.64      0.945
26.38      4.912
27.12      7.81
27.86      11.185
28.60      13.937
29.34      16.397
30.08      21.104
30.82      21.162
31.56      22.941
32.29      24.227
33.03      25.935
33.77      27.44
34.51      27.006
35.25      29.318
35.99      27.61
36.73      25.753
37.47      23.157
38.21      20.363
38.95      17.261
39.68      14.316
40.42      11.321
41.16      8.544
41.90      6.131
42.64      8.518
43.38      9.456
44.11      11.095
44.85      16.585
45.59      18.833
46.33      21.053
47.07      24.116
47.81      28.129
48.54      31.569
49.28      35.397
50.02      40.199
50.76      45.082
51.50      45.112
52.24      47.914
52.97      49.698
53.71      52.147
54.45      52.462
55.19      56.067
55.93      60.91
56.66      55.763
57.40      55.224
58.14      49.331
58.88      42.109
59.62      40.201
60.36      37.009
61.10      36.721
61.84      38.141
62.57      39.016
63.31      41.804
64.05      42.226
64.79      45.724
65.53      49.806
66.28      53.585
67.01      59.453
67.75      62.45
68.47      67.409
69.21      75.339
69.93      82.397
70.63      86.658
71.35      91.945
72.06      97.221
72.77      102.668
73.47      106.569
