U1=2.06V
U3=8.22V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.46       0.0
1.20       0.0
1.94       0.0
2.68       0.0
3.42       0.0
4.16       0.0
4.90       0.0
5.64       0.0
6.38       0.0
7.12       0.0
7.86       1.524
8.61       10.906
9.35       15.322
10.09      19.006
10.83      21.433
11.57      24.022
12.31      25.416
13.05      27.121
13.79      28.236
14.53      29.592
15.27      31.055
16.01      32.097
16.75      33.708
17.49      34.407
18.23      30.575
18.97      24.259
19.71      17.845
20.45      11.572
21.19      6.729
21.93      3.134
22.67      0.419
23.41      0.0
24.15      0.0
24.89      1.381
25.63      11.462
26.36      16.919
27.10      22.787
27.84      28.281
28.58      32.855
29.32      36.526
30.06      39.935
30.80      43.171
31.54      45.93
32.28      48.707
33.02      51.172
33.75      53.397
34.49      54.88
35.23      54.136
35.97      50.591
36.71      46.329
37.44      40.795
38.18      34.993
38.92      29.424
39.67      24.003
40.40      18.656
41.14      14.031
41.87      16.662
42.61      19.236
43.35      20.893
44.09      26.56
44.83      31.423
45.57      36.555
46.30      42.736
47.04      50.014
47.79      56.557
48.52      63.971
49.25      70.317
49.99      77.4
50.73      84.342
51.47      93.326
52.21      100.914
52.95      104.68
53.69      107.742
54.42      110.442
55.16      111.256
55.90      111.028
56.64      109.852
57.38      108.255
58.11      106.764
58.85      110.387
59.59      112.18
60.33      116.293
61.07      122.779
61.81      130.572
62.55      140.261
63.29      152.996
64.03      167.364
64.77      182.75
65.51      185.175
66.25      187.476
66.99      189.291
67.73      189.292
68.46      189.292
69.18      189.292
69.90      189.292
70.62      189.292
71.33      189.292
72.05      189.292
72.75      189.292
73.46      189.292
