U1=1.40V
U3=7.79V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.46       0.0
1.20       0.0
1.94       0.0
2.68       0.0
3.42       0.0
4.16       0.0
4.90       0.0
5.65       0.0
6.39       0.0
7.13       0.0
7.87       0.0
8.61       1.332
9.35       2.398
10.09      3.471
10.83      4.488
11.57      5.563
12.31      6.661
13.06      7.7
13.80      8.535
14.54      9.074
15.28      9.887
16.02      11.228
16.76      12.069
17.50      12.926
18.24      12.182
18.98      10.673
19.72      8.391
20.46      5.741
21.20      3.487
21.94      1.767
22.68      0.154
23.42      0.0
24.16      0.0
24.90      0.0
25.64      4.632
26.38      7.824
27.12      10.815
27.86      14.01
28.60      16.682
29.34      19.089
30.08      21.176
30.82      23.281
31.55      24.977
32.29      26.787
33.03      28.497
33.77      30.018
34.51      31.053
35.25      31.574
35.99      29.962
36.72      27.976
37.46      25.205
38.20      21.781
38.94      18.651
39.68      15.507
40.42      12.285
41.16      9.171
41.89      9.265
42.63      11.434
43.37      11.464
44.11      14.39
44.85      17.241
45.59      19.813
46.32      23.114
47.06      26.468
47.80      29.892
48.54      33.466
49.28      37.071
50.02      40.76
50.75      44.022
51.49      47.795
52.23      50.618
52.97      52.71
53.71      53.974
54.45      54.356
55.18      53.961
55.92      52.728
56.67      51.313
57.40      49.435
58.14      47.155
58.87      47.079
59.61      46.647
60.35      45.467
61.09      47.238
61.83      47.576
62.57      49.549
63.31      51.894
64.05      54.577
64.79      58.336
65.53      62.766
66.27      68.082
67.01      73.473
67.74      79.817
68.47      86.601
69.19      94.106
69.91      112.192
70.63      112.178
71.34      118.134
72.06      125.335
72.76      132.605
73.47      142.3
