U1=2.01V
U3=7.44V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.45       0.0
1.19       0.0
1.93       0.0
2.67       0.0
3.42       0.0
4.16       0.0
4.90       0.0
5.64       0.0
6.38       0.0
7.12       2.307
7.86       12.16
8.60       16.282
9.34       19.427
10.08      22.468
10.82      24.521
11.56      26.722
12.30      28.044
13.04      29.463
13.78      30.592
14.52      32.458
15.26      33.733
16.00      34.893
16.74      35.992
17.48      36.414
18.22      31.951
18.96      25.319
19.70      18.429
20.44      12.142
21.18      7.271
21.92      3.134
22.65      0.872
23.39      0.0
24.13      4.281
24.87      14.46
25.61      18.954
26.35      25.557
27.09      31.288
27.83      35.937
28.57      39.302
29.30      43.057
30.04      46.558
30.78      49.617
31.52      52.118
32.26      54.688
33.00      56.589
33.74      58.761
34.47      60.393
35.21      59.031
35.95      54.831
36.69      50.248
37.43      44.172
38.16      38.273
38.90      32.342
39.64      26.691
40.38      22.018
41.12      25.073
41.85      27.108
42.59      28.945
43.33      34.269
44.07      38.831
44.81      45.056
45.54      50.98
46.28      57.578
47.02      62.396
47.76      69.465
48.49      76.528
49.23      83.477
49.97      91.405
50.71      98.164
51.45      106.125
52.18      113.16
52.92      118.619
53.66      121.415
54.40      123.634
55.14      124.833
55.88      123.771
56.61      122.802
57.35      122.021
58.09      125.815
58.83      128.784
59.57      132.599
60.31      140.84
61.04      148.491
61.78      159.663
62.52      172.998
63.26      188.138
64.01      189.292
64.75      189.292
65.49      189.292
66.23      189.292
66.97      189.292
67.71      189.292
68.44      189.292
69.16      189.292
69.88      189.292
70.60      189.292
71.31      189.292
72.03      189.292
72.74      189.292
73.44      189.292
