U1=1.69V
U3=7.44V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.45       0.0
1.19       0.0
1.93       0.0
2.67       0.0
3.41       0.0
4.15       0.0
4.89       0.0
5.63       0.0
6.37       0.0
7.11       0.119
7.85       7.797
8.59       12.429
9.33       15.827
10.07      18.58
10.81      20.711
11.55      22.419
12.29      24.481
13.03      25.757
13.77      27.128
14.51      28.383
15.25      29.314
15.99      30.184
16.73      30.834
17.47      31.477
18.21      30.168
18.95      24.529
19.69      18.058
20.43      11.965
21.17      7.257
21.91      3.972
22.64      1.093
23.38      0.0
24.12      0.0
24.86      9.701
25.60      15.332
26.34      20.155
27.07      25.647
27.82      29.982
28.55      33.744
29.29      37.258
30.03      40.264
30.77      42.691
31.51      45.447
32.24      47.912
32.98      50.029
33.72      51.73
34.46      53.184
35.20      53.206
35.93      49.618
36.67      45.571
37.41      40.237
38.15      34.844
38.89      29.666
39.62      24.443
40.36      19.543
41.10      19.193
41.84      22.793
42.57      22.658
43.31      27.084
44.05      30.786
44.79      35.209
45.52      39.895
46.26      44.883
47.00      50.242
47.74      56.315
48.47      62.117
49.21      68.025
49.95      74.05
50.69      80.502
51.42      84.981
52.16      90.262
52.90      93.885
53.64      96.252
54.38      96.732
55.11      96.538
55.85      95.485
56.59      93.256
57.33      90.099
58.06      91.381
58.80      92.217
59.54      91.714
60.28      96.049
61.02      99.201
61.75      102.029
62.49      107.733
63.23      113.213
63.97      119.62
64.73      128.92
65.46      139.434
66.20      151.514
66.94      165.17
67.67      180.349
68.40      189.292
69.13      189.292
69.85      189.292
70.57      189.292
71.28      189.292
72.00      189.292
72.71      189.292
73.41      189.292
