U1=1.68V
U3=7.79V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.46       0.0
1.20       0.0
1.94       0.0
2.68       0.0
3.42       0.0
4.16       0.0
4.90       0.0
5.64       0.0
6.38       0.0
7.12       0.0
7.87       1.81
8.61       8.185
9.35       11.792
10.09      14.194
10.83      16.25
11.57      18.266
12.31      19.843
13.05      21.056
13.79      22.301
14.53      23.953
15.27      24.479
16.01      26.063
16.75      27.493
17.49      27.743
18.23      26.835
18.97      21.527
19.71      16.484
20.45      11.175
21.19      6.793
21.93      3.181
22.67      1.03
23.41      0.0
24.15      0.0
24.89      2.53
25.63      11.05
26.37      14.923
27.11      20.198
27.85      24.879
28.59      28.572
29.33      31.835
30.07      34.774
30.80      37.484
31.54      40.016
32.28      42.255
33.02      44.448
33.76      46.201
34.50      47.94
35.24      47.764
35.97      45.184
36.71      41.517
37.45      36.924
38.19      31.851
38.93      26.955
39.67      22.344
40.41      17.78
41.14      13.841
41.88      16.414
42.62      18.224
43.36      19.127
44.10      24.113
44.84      27.451
45.57      31.806
46.31      36.272
47.05      41.39
47.79      46.188
48.53      51.414
49.27      56.406
50.00      61.87
50.74      67.229
51.48      72.194
52.22      76.837
52.96      80.054
53.69      81.81
54.43      82.942
55.17      82.617
55.91      81.382
56.65      79.733
57.38      77.363
58.12      75.481
58.86      77.253
59.60      76.495
60.34      77.978
61.08      80.898
61.82      83.033
62.56      87.953
63.30      93.167
64.03      100.023
64.78      108.059
65.52      118.014
66.26      129.039
67.00      141.469
67.73      155.626
68.46      171.261
69.19      188.53
69.92      189.292
70.62      189.292
71.34      189.292
72.05      189.292
72.76      189.292
73.47      189.292
