U1=6.82V
U3=1.52V
If=0.40A
T=125.9C
Type Hg


U2 [V]      Ia [nA]
0.00       0.0
0.05       0.0
0.35       0.0
0.65       0.0
0.94       0.0
1.24       0.0
1.53       0.0
1.83       0.0
2.13       0.0
2.42       0.0
2.72       0.0
3.02       0.0
3.30       0.0
3.61       0.121
3.90       0.322
4.20       0.731
4.50       0.948
4.79       1.245
5.09       1.262
5.39       0.964
5.68       0.816
5.98       0.153
6.28       0.156
6.57       0.034
6.87       0.0
7.16       0.118
7.46       0.258
7.76       0.562
8.05       0.918
8.35       1.454
8.65       2.142
8.94       2.774
9.24       3.658
9.53       4.472
9.83       4.971
10.13      5.016
10.42      4.469
10.72      3.363
11.01      2.3
11.31      1.537
11.61      1.071
11.90      0.912
12.20      1.004
12.49      1.194
12.79      1.715
13.08      2.457
13.38      3.253
13.68      4.247
13.97      5.32
14.27      6.42
14.56      7.371
14.86      7.835
15.15      7.766
15.45      6.927
15.74      5.675
16.04      4.462
16.34      3.361
16.63      2.794
16.93      2.381
17.22      2.474
17.52      2.727
17.81      3.249
18.11      3.974
18.40      4.972
18.70      6.079
18.99      7.299
19.29      8.498
19.58      9.418
19.88      9.832
20.17      9.987
20.47      9.257
20.76      8.433
21.05      7.453
21.34      6.53
21.64      5.96
21.94      5.491
22.23      5.379
22.53      5.505
22.82      5.754
23.11      6.356
23.41      7.081
23.70      8.133
24.00      9.241
24.29      10.146
24.58      10.892
24.88      11.376
25.17      11.61
25.46      11.394
25.75      10.907
26.04      10.349
26.34      9.784
26.63      9.257
26.92      8.797
27.22      8.46
27.51      8.352
27.80      8.562
28.09      8.755
28.38      9.146
28.67      9.743
28.96      10.459
29.20      11.075
